Diện tích sử dụng,Diện tích đất,Mã BĐS,Ngày đăng,Nhà tắm,Pháp lý,Phòng ngủ,address,loai_hinh,mo_gioi_link,mo_gioi_phone,mo_gioi_ten,price,title,url
400 m2,"100 m2(6x16,5)",22700445,24/10/2025,6,Sổ đỏ,15,"Ngô Xuân Quảng, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,15 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Ngô Xuân Quảng",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/430tr-1-nam-tt-trau-quy-4-tang-100m-ngo-thong-o-to-canh-pho-id22700445
36 m2,"36 m2(3,5x11)",22657278,24/10/2025,3,Sổ đỏ,6,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,8 tỷ 200 triệu,"Bán Nhà mặt tiền, phố Tân Mai",https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/nha-dep-tan-mai-36mx5t-gia-8ty-oto-kinh-doanh-lo-goc-ngo-thong-id22657278
,"70 m2(5,5x12,7)",21688139,24/10/2025,6,Sổ đỏ,6,"Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,22 tỷ,"Bán Nhà hẻm, ngõ Trung Kính",https://mogi.vn/quan-cau-giay/mua-nha-hem-ngo/ban-toa-nha-van-phong-ngo-80-trung-kinh-cau-giay-dt-70m2-x-7-tang-id21688139
280 m2,280 m2(11x25),22650207,24/10/2025,,Sổ đỏ,,"Trúc Bạch, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,80 tỷ,Bán Đất thổ cư Trúc Bạch,https://mogi.vn/quan-ba-dinh/mua-dat-tho-cu/ban-dat-kinh-doanh-truc-bach-ba-dinh-280m2-mt-11m-80-ty-id22650207
,30 m2(4x5),22623466,24/10/2025,4,Sổ đỏ,3,"Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,5 tỷ 500 triệu,"Bán Nhà hẻm, ngõ Tư Đình",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-khu-a38-tu-dinh-dang-sau-khu-biet-thu-minh-tam-o-to-toi-cong-id22623466
150 m2,75 m2(5x15),22703483,24/10/2025,2,Sổ đỏ,3,"Trâu Quỳ, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,14 tỷ 400 triệu,Bán Nhà đường nội bộ Trâu Quỳ,https://mogi.vn/huyen-gia-lam/mua-duong-noi-bo/duong-dai-hoc-nong-nghiep-trau-quy-2-tang-x-75m-kinh-doanh-ngay-dem-id22703483
48 m2,48 m2(4x12),22653490,24/10/2025,4,Sổ đỏ,5,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,10 tỷ 800 triệu,"Bán Nhà mặt tiền, phố Lê Trọng Tấn",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-nha-le-trong-tan-tx-dt-48m-mt4m-gia-hon-10-ty-oto-do-cua-id22653490
250 m2,250 m2(7x35),22710486,24/10/2025,5,Sổ đỏ,5,"Nguyễn Thái Học, Phường Kim Mã, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,109 tỷ 999 triệu,"Bán Nhà mặt tiền, phố Nguyễn Thái Học",https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/ban-nha-mat-pho-nguyen-thai-hoc-ba-dinh-250m2-3t-mt-7m-110-ty-id22710486
412 m2,"103 m2(4,5x22)",22704538,24/10/2025,4,Sổ đỏ,4,"Nguyễn Quý Trị, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,12 tỷ 700 triệu,"Bán Nhà hẻm, ngõ Nguyễn Quý Trị",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/nha-moi-4-tang-105m-nguyen-quy-tri-kieu-ky-canh-vinocp-noi-that-dep-id22704538
39 m2,39 m2(4x10),22653144,24/10/2025,3,Sổ đỏ,4,"Bằng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,5 tỷ 800 triệu,"Bán Nhà mặt tiền, phố Bằng Liệt",https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-gap-nha-bang-liet-hm-dt-39m2-gia-nhinh-5-ty-oto-gan-nha-th-id22653144
135 m2,135 m2(10x13),22711187,24/10/2025,6,Sổ đỏ,6,"Hàng Bún, Phường Trúc Bạch, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,89 tỷ,"Bán Nhà mặt tiền, phố Hàng Bún",https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/ban-nha-mat-pho-hang-bun-lo-goc-135m2-4t-mt-10m-89-ty-id22711187
82 m2,"82 m2(4,2x19,5)",22703511,24/10/2025,,Sổ đỏ,,"Ngô Xuân Quảng, Thị Trấn Trâu Quỳ, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,8 tỷ 500 triệu,Bán Đất thổ cư Ngô Xuân Quảng,https://mogi.vn/huyen-gia-lam/mua-dat-tho-cu/trau-quy-ngo-xuan-quang-82m-mt-4-2m-ngo-canh-pho-o-to-vao-chi-nhinh8-id22703511
40 m2,40 m2(4x10),22650429,24/10/2025,4,Sổ đỏ,6,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,8 tỷ 850 triệu,"Bán Nhà mặt tiền, phố Tân Mai",https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-nha-tan-mai-dt-40m2-gia-hon-8-ty-lo-goc-oto-tranh-kinh-doanh-id22650429
35 m2,35 m2(4x9),22711437,24/10/2025,5,Sổ đỏ,5,"Văn Trì, Phường Minh Khai, Quận Bắc Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,6 tỷ 350 triệu,"Bán Nhà hẻm, ngõ Văn Trì",https://mogi.vn/quan-bac-tu-liem/mua-nha-hem-ngo/ban-nha-van-tri-o-to-kd-lo-goc-35m2-4t-4pn-mt-4m-6-35-ty-id22711437
190 m2,"37 m2(4,3x9)",22703971,24/10/2025,4,Sổ đỏ,4,"Thúy Lĩnh, Phường Lĩnh Nam, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,7 tỷ 900 triệu,"Bán Nhà hẻm, ngõ Thúy Lĩnh",https://mogi.vn/quan-hoang-mai/mua-nha-hem-ngo/thuy-linh-nha-moi-5-tang-thang-may-hien-dai-lo-goc-2-thoang-ngo-pho-id22703971
44 m2,44 m2(4x11),22648747,24/10/2025,3,Sổ đỏ,4,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,7 tỷ 400 triệu,"Bán Nhà hẻm, ngõ Giáp Bát",https://mogi.vn/quan-hoang-mai/mua-nha-hem-ngo/ban-nha-giap-bat-hoang-mai-dt-44m2-gia-nhinh-7-ty-lo-goc-2-t-id22648747
240 m2,40 m2(4x10),22701261,24/10/2025,10,Sổ đỏ,10,"Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,12 tỷ,Bán Nhà đường nội bộ Mỹ Đình,https://mogi.vn/quan-nam-tu-liem/mua-duong-noi-bo/ban-ccmn-my-dinh-nam-tu-liem-dt-40m2-x-6-tang-doanh-thu-55tr-thang-id22701261
30 m2,30 m2(3x10),22704144,24/10/2025,6,Sổ đỏ,6,"Trung Kính, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,14 tỷ 100 triệu,"Bán Nhà hẻm, ngõ Trung Kính",https://mogi.vn/quan-cau-giay/mua-nha-hem-ngo/ban-nha-trung-kinh-o-to-tranh-via-he-30m2-5-tang-6pn-chi-14-1-ty-id22704144
,"40 m2(3,5x14)",22122706,24/10/2025,3,Sổ đỏ,4,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,4 tỷ 350 triệu,"Bán Nhà hẻm, ngõ Thạch Bàn",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/ban-nha-ngay-nga-tu-co-linh-thach-ban-5-tang-40m2-ngo-o-to-7-cho-id22122706
97 m2,"97 m2(4,8x20,2)",22705980,24/10/2025,1,Sổ đỏ,2,"Bát Khối, Xã Bát Tràng, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,6 tỷ,"Bán Nhà mặt tiền, phố Bát Khối",https://mogi.vn/huyen-gia-lam/mua-nha-mat-tien-pho/truc-chinh-bat-khoi-dong-du-bat-trang-97m-lo-goc-kinh-doanh-o-to-do-id22705980
70 m2,70 m2(4x17),22698850,24/10/2025,5,Sổ đỏ,5,"Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,12 tỷ 900 triệu,"Bán Nhà mặt tiền, phố Phương Liệt",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-nha-pho-phuong-liet-tx-dt-70m2-x-5t-gia-hon-12-ty-oto-15m-id22698850
204 m2,"51 m2(4,6x11,1)",22415234,24/10/2025,5,Sổ đỏ,4,"Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,8 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Mỹ Đình",https://mogi.vn/quan-nam-tu-liem/mua-nha-mat-tien-pho/ban-nha-ngo-402-my-dinh-nam-tu-liem-dt-51m2-x-4-tang-gia-8-5-ty-id22415234
135 m2,135 m2(6x23),22703782,24/10/2025,,Sổ đỏ,,"Trần Cung, Phường Cổ Nhuế 1, Quận Bắc Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,28 tỷ 500 triệu,Bán Đất thổ cư Trần Cung,https://mogi.vn/quan-bac-tu-liem/mua-dat-tho-cu/ban-gap-dat-mat-pho-tran-cung-135m2-mt-5-7m-28-5-ty-id22703782
,"34 m2(3,4x8)",22125179,24/10/2025,,Sổ đỏ,,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,2 tỷ 100 triệu,Bán Đất thổ cư Thạch Bàn,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-34m2-dat-thach-ban-cach-1-nha-ra-o-to-ngo-xe-cho-ra-vao-2-1-ty-id22125179
120 m2,120 m2(6x20),22706120,24/10/2025,1,Sổ đỏ,2,"Giáp Hải, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,11 tỷ,"Bán Nhà hẻm, ngõ Giáp Hải",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/giap-hai-dong-du-120m-mt-6m-truc-chinh-kinh-doanh-o-to-do-san-nha-o-id22706120
40 m2,40 m2(4x10),22697630,24/10/2025,3,Sổ đỏ,3,"Phan Trọng Tuệ, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,5 tỷ 100 triệu,"Bán Nhà mặt tiền, phố Phan Trọng Tuệ",https://mogi.vn/huyen-thanh-tri-ha-noi/mua-nha-mat-tien-pho/ban-nha-phan-trong-tue-tam-hiep-dt-40m-gia-nhinh-5-ty-oto-gan-id22697630
270 m2,45 m2(5x9),22415232,24/10/2025,5,Sổ đỏ,3,"Khúc Thừa Dụ, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,19 tỷ 800 triệu,"Bán Nhà mặt tiền, phố Khúc Thừa Dụ",https://mogi.vn/quan-cau-giay/mua-nha-mat-tien-pho/ban-nha-mat-pho-khuc-thua-du-cau-giay-dt-45m2-x-6-tang-gia-19-8-ty-id22415232
95 m2,95 m2(6x16),22693761,24/10/2025,27,Sổ đỏ,27,"Mễ Trì, Phường Mễ Trì, Quận Nam Từ Liêm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,22 tỷ 999 triệu,"Bán Nhà hẻm, ngõ Mễ Trì",https://mogi.vn/quan-nam-tu-liem/mua-nha-hem-ngo/ban-toa-ccmn-phu-do-o-to-vao-nha-95m2-8-tang-27-phong-23-ty-id22693761
,"38 m2(3,5x11,5)",22377860,24/10/2025,,Sổ đỏ,,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912017115-tran-kim-tung-uid12147397,0912017115,Trần Kim Tùng,2 tỷ 800 triệu,Bán Đất thổ cư Thạch Bàn,https://mogi.vn/quan-long-bien/mua-dat-tho-cu/ban-40m-dat-thach-ban-gan-cho-truong-hoc-ngo-o-to-5-cho-ra-vao-2-8-ty-id22377860
180 m2,60 m2(4x15),22706328,24/10/2025,3,Sổ đỏ,3,"Ngõ Độc Lập, Phường Cự Khối, Quận Long Biên, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,6 tỷ,"Bán Nhà hẻm, ngõ Ngõ Độc Lập",https://mogi.vn/quan-long-bien/mua-nha-hem-ngo/nha-dep-cu-khoi-long-bien-3-tang-60m-mt4m-o-to-do-gan-o-to-tranh-id22706328
52 m2,50 m2(4x13),22698393,24/10/2025,4,Sổ đỏ,6,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,13 tỷ 800 triệu,"Bán Nhà mặt tiền, phố Lê Trọng Tấn",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-nha-phan-lo-le-trong-tan-dt-52m-gia-hon-13-ty-hai-thoang-id22698393
354 m2,"59 m2(4,2x14)",22415218,24/10/2025,5,Sổ đỏ,4,"Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,6 tỷ 200 triệu,"Bán Nhà mặt tiền, phố Vũ Tông Phan",https://mogi.vn/quan-thanh-xuan/mua-nha-mat-tien-pho/ban-nha-ngo-559-vu-tong-phan-thanh-xuan-dt-59m2-x6-tang-gia-6-2-ty-id22415218
80 m2,,22691576,24/10/2025,2,Sổ đỏ,2,"Linh Đàm, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,5 tỷ 750 triệu,Bán Chung cư Linh Đàm,https://mogi.vn/quan-hoang-mai/mua-can-ho-chung-cu/ban-can-chung-cu-ct4b-kdt-bac-linh-dam-dt80-gia-hon-5-ty-id22691576
120 m2,100 m2(5x20),22699898,24/10/2025,3,Sổ đỏ,4,"Bát Đàn, Phường Cửa Đông, Quận Hoàn Kiếm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,72 tỷ,"Bán Nhà mặt tiền, phố Bát Đàn",https://mogi.vn/quan-hoan-kiem/mua-nha-mat-tien-pho/ban-nha-mat-pho-bat-dan-2-thoang-95m2-3-tang-mt-5m-72-ty-id22699898
211 m2,"70 m2(4,5x17)",22705342,24/10/2025,3,Sổ đỏ,4,"DT179, Xã Kiêu Kỵ, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,7 tỷ 500 triệu,"Bán Nhà hẻm, ngõ DT179",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/kieu-ky-canh-vin-75m-3-tang-o-to-tranh-kinh-doanh-duong-18m-dep-id22705342
53 m2,,22658330,24/10/2025,1,Sổ đỏ,2,"Hoàng Đạo Thúy, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0919928661-phung-quang-dau-uid12103377,0919928661,Phùng Quang Dậu,3 tỷ 850 triệu,Bán Chung cư Hoàng Đạo Thúy,https://mogi.vn/quan-thanh-xuan/mua-can-ho-chung-cu/ban-can-ho-cc-toa-n5d-hoang-dao-thuy-dt-53m2-id22658330
29 m2,30 m2(4x10),22688025,24/10/2025,3,Sổ đỏ,3,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0984857937-luong-tu-uid12186644,0984857937,Lương Tú,6 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Đại Từ",https://mogi.vn/quan-hoang-mai/mua-nha-mat-tien-pho/ban-nha-dai-tu-hoang-mai-dt30m2-gia-nhinh-6ty-hai-mat-thoang-oto-id22688025
76 m2,76 m2(10x7),22701518,24/10/2025,10,Sổ đỏ,8,"Đội Cấn, Phường Liễu Giai, Quận Ba Đình, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0987104878-vu-thinh-uid12164532,0987104878,Vũ Thịnh,36 tỷ 500 triệu,"Bán Nhà mặt tiền, phố Đội Cấn",https://mogi.vn/quan-ba-dinh/mua-nha-mat-tien-pho/ban-toa-van-phong-doi-can-2-thoang-76m2-7-tang-thang-may-36-5-ty-id22701518
"56,5 m2","56,5 m2(4x14)",22705583,24/10/2025,1,Sổ đỏ,2,"Khoan Tế, Xã Đa Tốn, Huyện Gia Lâm, Hà Nội",Mua bán nhà đất,https://mogi.vn/moi-gioi/0912915066-nguyen-nam-uid12226692,0912915066,Nguyễn Nam,4 tỷ 700 triệu,"Bán Nhà hẻm, ngõ Khoan Tế",https://mogi.vn/huyen-gia-lam/mua-nha-hem-ngo/da-ton-pho-moi-348-dt56-5m-mt4m-o-to-vao-ban-dat-tang-nha-cap-4-id22705583
