Ngày đăng,Pháp lý,Diện tích đất,Nhà tắm,Phòng ngủ,Diện tích sử dụng,Mã BĐS,address,price
2025-10-19,sổ đỏ,"27 m2(3,2x7)",3.0,3.0,27 m2,22709802,"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",7 tỷ 200 triệu
2025-10-19,sổ đỏ,"30 m2(3,5x8)",4.0,4.0,30 m2,22711629,"Ngõ Văn Chương, Phường Văn Chương, Quận Đống Đa, Hà Nội",14 tỷ 500 triệu
2025-10-19,sổ đỏ,"22 m2(3,4x7)",1.0,2.0,22 m2,22711628,"Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",5 tỷ 900 triệu
2025-10-19,sổ đỏ,30 m2(4x10),4.0,3.0,30 m2,22711630,"Nghĩa Dũng, Phường Phúc Xá, Quận Ba Đình, Hà Nội",8 tỷ 500 triệu
2025-10-19,sổ đỏ,"48 m2(3,6x12)",5.0,5.0,48 m2,22711625,"Trần Duy Hưng, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",15 tỷ 200 triệu
2025-10-19,sổ đỏ,"31 m2(3,6x10)",2.0,2.0,31 m2,22710455,"Đặng Thái Thân, Phường Phan Chu Trinh, Quận Hoàn Kiếm, Hà Nội",12 tỷ
2025-10-19,sổ đỏ,"20 m2(3,4x6)",4.0,4.0,20 m2,22709292,"Núi Trúc, Phường Giảng Võ, Quận Ba Đình, Hà Nội",7 tỷ 500 triệu
2025-10-19,sổ đỏ,"21 m2(4,6x5)",3.0,3.0,21 m2,22707728,"Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",6 tỷ 499 triệu
2025-10-19,sổ đỏ,"43 m2(4,5x10)",4.0,4.0,43 m2,22707736,"Thái Thịnh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",31 tỷ
2025-10-19,sổ đỏ,61 m2(4x20),1.0,2.0,61 m2,22707738,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",10 tỷ 60 triệu
2025-10-19,sổ đỏ,"108 m2(7,8x15)",1.0,1.0,108 m2,22704762,"Đền Lừ, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",33 tỷ
2025-10-19,sổ đỏ,57 m2(4x14),3.0,5.0,57 m2,22707789,"Minh Khai, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",10 tỷ 500 triệu
2025-10-19,sổ đỏ,40 m2(3x12),4.0,4.0,40 m2,22707737,"Hàng Bạc, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",17 tỷ
2025-10-19,sổ đỏ,"35 m2(3,5x10)",5.0,5.0,35 m2,22706352,"Tôn Đức Thắng, Phường Cát Linh, Quận Đống Đa, Hà Nội",27 tỷ
2025-10-19,sổ đỏ,"70 m2(4,4x12)",4.0,10.0,70 m2,22711708,"An Dương, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",15 tỷ 500 triệu
2025-10-19,sổ đỏ,"44 m2(3,2x12)",4.0,6.0,44 m2,22704760,"Ngõ Trại Găng, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",11 tỷ 800 triệu
2025-10-19,sổ đỏ,70 m2(4x17),3.0,3.0,70 m2,22704759,"Dương Văn Bé, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",11 tỷ 800 triệu
2025-10-19,sổ đỏ,"20 m2(3,3x7)",2.0,2.0,20 m2,22711627,"Ngõ Chùa Liên Phái, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",5 tỷ 800 triệu
2025-10-19,sổ đỏ,"73 m2(5,2x14)",1.0,1.0,73 m2,22711631,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",8 tỷ 600 triệu
2025-10-19,sổ đỏ,"17 m2(2,6x8)",1.0,1.0,17 m2,22709453,"Ngõ Đình Đông, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",4 tỷ 200 triệu
2025-10-19,sổ đỏ,43 m2(4x11),4.0,3.0,43 m2,22711637,"An Dương, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",9 tỷ 900 triệu
2025-10-19,sổ đỏ,42 m2(5x4),4.0,5.0,42 m2,22709805,"Hòa Bình 7, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",10 tỷ 400 triệu
2025-10-19,sổ đỏ,60 m2(4x20),18.0,18.0,60 m2,22709807,"Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",13 tỷ 500 triệu
2025-10-19,sổ đỏ,"27 m2(3,3x7)",3.0,3.0,,22709803,"Ngõ Trung Tả, Phường Ô Chợ Dừa, Quận Đống Đa, Hà Nội",6 tỷ 100 triệu
2025-10-19,sổ đỏ,"78 m2(5,8x12)",10.0,10.0,78 m2,22709806,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",25 tỷ 500 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,3.0,40 m2,22710863,"Lương Yên, Phường Bạch Đằng, Quận Hai Bà Trưng, Hà Nội",8 tỷ 300 triệu
2025-10-19,sổ đỏ,"54 m2(4,6x11)",1.0,1.0,54 m2,22706751,"Âu Cơ, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",19 tỷ
2025-10-19,sổ đỏ,"33 m2(3,75x10)",4.0,4.0,33 m2,22706524,"Hồ Đắc Di, Phường Nam Đồng, Quận Đống Đa, Hà Nội",16 tỷ
2025-10-19,sổ đỏ,18 m2(4x6),3.0,3.0,18 m2,22706755,"Nguyễn Cao, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",4 tỷ 580 triệu
2025-10-19,sổ đỏ,"133 m2(4,5x20)",3.0,3.0,133 m2,22706746,"Nguyễn Văn Tố, Phường Cửa Nam, Quận Hoàn Kiếm, Hà Nội",73 tỷ 200 triệu
2025-10-19,sổ đỏ,"18 m2(3,2x7)",4.0,3.0,18 m2,22706903,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",4 tỷ 850 triệu
2025-10-19,sổ hồng,22 m2(3x7),3.0,3.0,22 m2,22707592,"Trương Định, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",5 tỷ 800 triệu
2025-10-19,sổ đỏ,18 m2(4x6),3.0,3.0,18 m2,22711640,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",4 tỷ 980 triệu
2025-10-19,giấy tờ hợp lệ,"40 m2(3,1x12)",4.0,4.0,40 m2,22711638,"Đồng Xuân, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",22 tỷ 800 triệu
2025-10-19,sổ đỏ,45 m2(5x9),2.0,2.0,45 m2,22711855,"Xuân Diệu, Phường Quảng An, Quận Tây Hồ, Hà Nội",16 tỷ 500 triệu
2025-10-19,sổ đỏ,"43 m2(3,3x10)",6.0,6.0,43 m2,22711634,"An Dương, Phường Tứ Liên, Quận Tây Hồ, Hà Nội",15 tỷ 800 triệu
2025-10-19,sổ đỏ,"35 m2(3,7x10)",3.0,4.0,35 m2,22648468,"Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",6 tỷ 900 triệu
2025-10-19,sổ đỏ,40 m2(4x10),4.0,6.0,40 m2,22650429,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",8 tỷ 850 triệu
2025-10-19,sổ đỏ,"40 m2(4,5x9)",5.0,4.0,40 m2,22661102,"Hoàng Đạo Thành, Phường Kim Giang, Quận Thanh Xuân, Hà Nội",8 tỷ 850 triệu
2025-10-19,sổ đỏ,"36 m2(3,5x11)",3.0,6.0,36 m2,22657278,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",8 tỷ 200 triệu
2025-10-19,sổ đỏ,56 m2(5x11),4.0,4.0,56 m2,22662344,"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",7 tỷ 400 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,4.0,40 m2,22658932,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",6 tỷ 900 triệu
2025-10-19,sổ đỏ,"38 m2(3,5x12)",3.0,4.0,38 m2,22659104,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",7 tỷ 350 triệu
2025-10-19,sổ đỏ,"78 m2(4,2x18)",3.0,4.0,78 m2,22646323,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",12 tỷ 600 triệu
2025-10-19,sổ đỏ,54 m2,4.0,5.0,54 m2,22654469,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",14 tỷ 400 triệu
2025-10-19,sổ đỏ,45 m2(4x14),3.0,4.0,45 m2,22646235,"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",8 tỷ 100 triệu
2025-10-19,sổ đỏ,"56 m2(3,5x16)",3.0,4.0,56 m2,22658299,"Nguyễn Đức Cảnh, Phường Tương Mai, Quận Hoàng Mai, Hà Nội",9 tỷ 700 triệu
2025-10-19,sổ đỏ,45 m2(4x11),4.0,3.0,45 m2,22648107,"Hoàng Liệt, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",10 tỷ 300 triệu
2025-10-19,sổ đỏ,42 m2(4x10),4.0,5.0,42 m2,22658476,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",7 tỷ 590 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,3.0,40 m2,22646233,"Nguyễn Văn Trỗi, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",6 tỷ 700 triệu
2025-10-19,sổ đỏ,52 m2(5x10),4.0,6.0,50 m2,22710937,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",11 tỷ 950 triệu
2025-10-19,sổ đỏ,"55 m2(3,5x15)",3.0,3.0,55 m2,22646152,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",8 tỷ 200 triệu
2025-10-19,sổ đỏ,50 m2(4x12),4.0,6.0,50 m2,22688532,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",10 tỷ 200 triệu
2025-10-19,sổ đỏ,52 m2(4x14),3.0,4.0,52 m2,22711294,"Nguyễn Văn Trỗi, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",10 tỷ 100 triệu
2025-10-19,sổ đỏ,"65 m2(3,3x16)",6.0,6.0,65 m2,22709448,"Hàng Bông, Phường Hàng Bông, Quận Hoàn Kiếm, Hà Nội",38 tỷ 999 triệu
2025-10-19,sổ đỏ,100 m2(8x13),24.0,24.0,100 m2,22657908,"Triều Khúc, Phường Thanh Xuân Nam, Quận Thanh Xuân, Hà Nội",17 tỷ
2025-10-19,sổ đỏ,39 m2(4x10),3.0,4.0,38 m2,22674961,"Định Công Hạ, Phường Định Công, Quận Hoàng Mai, Hà Nội",6 tỷ 599 triệu
2025-10-19,sổ đỏ,14 m2(3x5),1.0,1.0,14 m2,22708467,"Đường Bưởi, Phường Cống Vị, Quận Ba Đình, Hà Nội",4 tỷ 500 triệu
2025-10-19,sổ đỏ,48 m2(4x12),4.0,5.0,48 m2,22653490,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",10 tỷ 800 triệu
2025-10-19,sổ đỏ,46 m2(4x12),3.0,5.0,46 m2,22656738,"Định Công, Phường Định Công, Quận Hoàng Mai, Hà Nội",7 tỷ 850 triệu
2025-10-19,sổ đỏ,44 m2(4x4),4.0,4.0,44 m2,22645994,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",12 tỷ 500 triệu
2025-10-19,sổ đỏ,50 m2(4x15),4.0,6.0,50 m2,22646138,"Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",8 tỷ 400 triệu
2025-10-19,sổ đỏ,45 m2(5x9),3.0,3.0,45 m2,22646308,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",6 tỷ 600 triệu
2025-10-19,sổ đỏ,"38 m2(3,5x13)",3.0,4.0,38 m2,22645957,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",5 tỷ 600 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,4.0,40 m2,22647139,"Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",9 tỷ 900 triệu
2025-10-19,sổ đỏ,"56 m2(3,5x17)",3.0,4.0,56 m2,22645964,"Trường Chinh, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",9 tỷ 900 triệu
2025-10-19,sổ đỏ,50 m2(4x15),4.0,6.0,50 m2,22650912,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",11 tỷ 499 triệu
2025-10-19,sổ đỏ,70 m2(4x17),5.0,5.0,70 m2,22698850,"Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",12 tỷ 900 triệu
2025-10-19,sổ đỏ,50 m2(4x13),4.0,6.0,52 m2,22698393,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",13 tỷ 800 triệu
2025-10-19,sổ đỏ,45 m2(4x11),3.0,4.0,45 m2,22690993,"Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",8 tỷ 900 triệu
2025-10-19,sổ đỏ,40 m2(4x10),3.0,3.0,40 m2,22697630,"Phan Trọng Tuệ, Xã Tam Hiệp, Huyện Thanh Trì, Hà Nội",5 tỷ 100 triệu
2025-10-19,sổ đỏ,"38 m2(6,5x5)",4.0,4.0,38 m2,22698078,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",7 tỷ 800 triệu
2025-10-19,sổ đỏ,"38 m2(3,5x12)",3.0,3.0,38 m2,22658178,"Phố Vọng, Phường Đồng Tâm, Quận Hai Bà Trưng, Hà Nội",6 tỷ 500 triệu
2025-10-19,sổ đỏ,48 m2(4x12),3.0,5.0,48 m2,22657580,"Vũ Tông Phan, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",8 tỷ 300 triệu
2025-10-19,sổ đỏ,"45 m2(3,9x4,1)",4.0,4.0,45 m2,22710868,"Ngõ Văn Hương, Phường Trung Phụng, Quận Đống Đa, Hà Nội",8 tỷ 750 triệu
2025-10-19,sổ đỏ,30 m2(4x10),3.0,3.0,29 m2,22688025,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",6 tỷ 500 triệu
2025-10-19,sổ đỏ,45 m2(6x9),5.0,6.0,45 m2,22660927,"Phan Đình Giót, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",14 tỷ 600 triệu
2025-10-19,sổ đỏ,45 m2(4x12),4.0,4.0,45 m2,22646106,"Khương Hạ, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",7 tỷ 950 triệu
2025-10-19,sổ đỏ,70 m2(5x11),4.0,5.0,70 m2,22689236,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",7 tỷ 500 triệu
2025-10-19,sổ đỏ,38 m2(4x9),4.0,5.0,38 m2,22667336,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",6 tỷ 990 triệu
2025-10-19,sổ đỏ,48 m2(4x2),3.0,4.0,47 m2,22690526,"Hoàng Văn Thái, Phường Khương Trung, Quận Thanh Xuân, Hà Nội",9 tỷ 500 triệu
2025-10-19,sổ đỏ,49 m2(4x11),3.0,5.0,50 m2,22686575,"Thịnh Liệt, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",9 tỷ 800 triệu
2025-10-19,sổ đỏ,41 m2(4x11),3.0,4.0,41 m2,22663229,"Nguyễn Đức Cảnh, Phường Hoàng Văn Thụ, Quận Hoàng Mai, Hà Nội",6 tỷ 600 triệu
2025-10-19,sổ đỏ,48 m2(4x12),4.0,5.0,48 m2,22673357,"Định Công Thượng, Phường Định Công, Quận Hoàng Mai, Hà Nội",8 tỷ 250 triệu
2025-10-19,sổ đỏ,"59 m2(4,5x12)",4.0,4.0,59 m2,22663393,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",7 tỷ 900 triệu
2025-10-19,sổ đỏ,48 m2(4x13),3.0,4.0,48 m2,22711114,"Giáp Bát, Phường Giáp Bát, Quận Hoàng Mai, Hà Nội",9 tỷ 100 triệu
2025-10-19,sổ đỏ,75 m2(5x15),4.0,4.0,73 m2,22695616,"Lê Trọng Tấn, Phường Khương Mai, Quận Thanh Xuân, Hà Nội",14 tỷ 500 triệu
2025-10-19,sổ đỏ,"44 m2(5,5x9)",4.0,5.0,44 m2,22663555,"Giáp Nhị, Phường Thịnh Liệt, Quận Hoàng Mai, Hà Nội",6 tỷ 100 triệu
2025-10-19,sổ đỏ,45 m2(4x11),3.0,5.0,45 m2,22683315,"Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",8 tỷ 900 triệu
2025-10-19,sổ đỏ,47 m2(4x12),4.0,4.0,48 m2,22690745,"Đại Từ, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",9 tỷ 200 triệu
2025-10-19,sổ đỏ,52 m2(4x13),4.0,6.0,52 m2,22681190,"Phương Liệt, Phường Phương Liệt, Quận Thanh Xuân, Hà Nội",9 tỷ 500 triệu
2025-10-19,sổ đỏ,50 m2(4x13),4.0,7.0,50 m2,22682375,"Kim Giang, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",9 tỷ 800 triệu
2025-10-19,sổ đỏ,"48 m2(3,6x14)",3.0,3.0,48 m2,22661005,"Tân Mai, Phường Tân Mai, Quận Hoàng Mai, Hà Nội",7 tỷ 500 triệu
2025-10-19,sổ đỏ,38 m2(4x9),3.0,5.0,38 m2,22688360,"Lương Khánh Thiện, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",6 tỷ 980 triệu
2025-10-19,sổ đỏ,50 m2(4x12),10.0,10.0,50 m2,22691298,"Giải Phóng, Phường Hoàng Liệt, Quận Hoàng Mai, Hà Nội",12 tỷ 900 triệu
2025-10-19,sổ đỏ,"37 m2(5,2x6)",3.0,3.0,37 m2,22709447,"Phúc Xá, Phường Phúc Xá, Quận Ba Đình, Hà Nội",18 tỷ 500 triệu
2025-10-19,sổ đỏ,"35 m2(3,5x13)",3.0,3.0,35 m2,22645926,"Hoàng Liệt, Phường Đại Kim, Quận Hoàng Mai, Hà Nội",5 tỷ 900 triệu
2025-10-19,sổ đỏ,31 m2(3x10),4.0,4.0,31 m2,22709450,"Hòa Bình 7, Phường Trương Định, Quận Hai Bà Trưng, Hà Nội",7 tỷ 600 triệu
2025-10-19,sổ đỏ,"56 m2(5,5x10)",4.0,6.0,56 m2,22708464,"Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",15 tỷ
2025-10-19,sổ đỏ,"24 m2(3,8x8)",2.0,2.0,24 m2,22708465,"Chợ Khâm Thiên, Phường Khâm Thiên, Quận Đống Đa, Hà Nội",5 tỷ 600 triệu
2025-10-19,sổ đỏ,"53 m2(3,6x12)",4.0,4.0,53 m2,22708462,"Đường Láng, Phường Láng Thượng, Quận Đống Đa, Hà Nội",12 tỷ 990 triệu
2025-10-19,sổ đỏ,"46 m2(4,1x10)",5.0,5.0,46 m2,22708463,"Cầu Giấy, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",15 tỷ 500 triệu
2025-10-19,sổ đỏ,44 m2(3x12),3.0,3.0,44 m2,22707725,"Ngõ Chùa Liên Phái, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",7 tỷ 500 triệu
2025-10-19,sổ đỏ,33 m2(4x14),4.0,4.0,33 m2,22708461,"An Dương Vương, Phường Bưởi, Quận Tây Hồ, Hà Nội",10 tỷ 900 triệu
2025-10-19,sổ đỏ,18 m2(3x7),3.0,2.0,18 m2,22707726,"Hào Nam, Phường Cát Linh, Quận Đống Đa, Hà Nội",3 tỷ 920 triệu
2025-10-19,sổ đỏ,33 m2(4x12),3.0,3.0,33 m2,22708459,"An Dương Vương, Phường Bưởi, Quận Tây Hồ, Hà Nội",7 tỷ 700 triệu
