Diện tích sử dụng,address,Phòng ngủ,Nhà tắm,Mã BĐS,Diện tích đất,price,Ngày đăng,Pháp lý
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",3,4,21954119,33 m2(6x6),2 tỷ 600 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22473690,31 m2(4x8),3 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,22125179,"34 m2(3,4x8)",2 tỷ 100 triệu,16/10/2025,Sổ đỏ
,"Kẻ Tạnh, Phường Giang Biên, Quận Long Biên, Hà Nội",,,21977794,"31 m2(4,2x8)",2 tỷ 440 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,4,21872696,"35 m2(3,5x10)",3 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22458287,"44 m2(6x7,5)",3 tỷ 300 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22456454,"35 m2(3,3x10)",3 tỷ 180 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,3,21898765,"30 m2(4,38x8)",2 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Nguyễn Văn Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,21841795,"42 m2(4,2x10)",3 tỷ 150 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,3,22122706,"40 m2(3,5x14)",4 tỷ 350 triệu,16/10/2025,Sổ đỏ
,"Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội",3,3,21894904,30 m2(4x8),3 tỷ 250 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21737122,31 m2(5x6),2 tỷ 850 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22482875,"35 m2(3,5x10)",3 tỷ 780 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21725210,31 m2(3x11),3 tỷ,16/10/2025,Sổ đỏ
,"Phố Trạm, Phường Long Biên, Quận Long Biên, Hà Nội",4,4,22546538,"40 m2(3,1x12)",4 tỷ 250 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,3,22520137,30 m2(4x8),2 tỷ 990 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",3,5,22483287,30 m2(5x5),5 tỷ 200 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",,,22377860,"38 m2(3,5x11,5)",2 tỷ 800 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22535596,30 m2(3x10),3 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Tư Đình, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22623466,30 m2(4x5),5 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22565929,45 m2(4x12),4 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,21896513,"35 m2(3,5x10)",3 tỷ 450 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22480637,"30 m2(3,8x8)",2 tỷ 750 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,2,22535774,30 m2(4x6),3 tỷ 550 triệu,16/10/2025,Sổ đỏ
,"Huỳnh Tấn Phát, Phường Thạch Bàn, Quận Long Biên, Hà Nội",2,1,21914310,37 m2(4x10),2 tỷ 880 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22609276,"35 m2(3,3x11)",4 tỷ 150 triệu,16/10/2025,Sổ đỏ
80 m2,"Nguyễn Công Trứ, Phường Phạm Đình Hổ, Quận Hai Bà Trưng, Hà Nội",3,1,22711865,,4 tỷ 200 triệu,16/10/2025,Sổ đỏ
70 m2,"Thái Hà, Phường Trung Liệt, Quận Đống Đa, Hà Nội",2,1,22712213,,6 tỷ,16/10/2025,Sổ đỏ
18 m2,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",3,5,22711863,,4 tỷ 900 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22419664,"31 m2(3,5x7)",3 tỷ 250 triệu,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",3,4,22121702,"33 m2(3,8x7)",2 tỷ 550 triệu,16/10/2025,Sổ đỏ
70 m2,"Ngõ Thịnh Hào 1, Phường Hàng Bột, Quận Đống Đa, Hà Nội",2,2,22711864,,4 tỷ 350 triệu,16/10/2025,Sổ đỏ
,"Ngọc Trì, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,21582778,"35 m2(3,8x10)",3 tỷ 300 triệu,16/10/2025,Sổ đỏ
112 m2,"Đỗ Quang, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",4,4,22712060,"56 m2(5x11,2)",33 tỷ,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22266846,32 m2(4x7),3 tỷ 250 triệu,16/10/2025,Sổ đỏ
30 m2,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",3,4,22711860,,7 tỷ 300 triệu,16/10/2025,Sổ đỏ
70 m2,"Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",2,1,22711752,,4 tỷ 390 triệu,16/10/2025,Sổ đỏ
,"Phúc lợi, Phường Phúc Lợi, Quận Long Biên, Hà Nội",,,22082451,"40,5 m2(4,5x10)",2 tỷ 650 triệu,16/10/2025,Sổ đỏ
100 m2,"Nguyên Hồng, Phường Láng Hạ, Quận Đống Đa, Hà Nội",2,1,22711859,,5 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Vạn Bảo, Phường Kim Mã, Quận Ba Đình, Hà Nội",4,5,21820671,"70 m2(5,4x13)",23 tỷ 800 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",3,4,22628898,30 m2(4x6),3 tỷ 850 triệu,16/10/2025,Sổ đỏ
,"Nguyễn Hoàng, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",7,7,21923606,"100 m2(9,5x11)",30 tỷ,16/10/2025,Sổ đỏ
60 m2,"Hàng Bồ, Phường Hàng Bồ, Quận Hoàn Kiếm, Hà Nội",2,1,22711747,,3 tỷ 890 triệu,16/10/2025,Sổ đỏ
102 m2,"Võ Chí Công, Phường Xuân La, Quận Tây Hồ, Hà Nội",3,2,22415180,102 m2(10x10),6 tỷ 200 triệu,16/10/2025,Sổ đỏ
60 m2,"Thượng Đình, Phường Thượng Đình, Quận Thanh Xuân, Hà Nội",2,1,22711746,,3 tỷ 600 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",3,3,21530618,"37 m2(3,5x11)",2 tỷ 800 triệu,16/10/2025,Sổ đỏ
80 m2,"Phố 8 Tháng 3, Phường Quỳnh Mai, Quận Hai Bà Trưng, Hà Nội",4,1,22711743,,3 tỷ 90 triệu,16/10/2025,Sổ đỏ
,"Ngọc Thụy, Phường Ngọc Thụy, Quận Long Biên, Hà Nội",3,4,22666965,47 m2(4x12),6 tỷ 250 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22635276,30 m2(4x7),4 tỷ 400 triệu,16/10/2025,Sổ đỏ
65 m2,"Chùa Bộc, Phường Quang Trung, Quận Đống Đa, Hà Nội",2,1,22711736,,4 tỷ 100 triệu,16/10/2025,Sổ đỏ
70 m2,"Nguyễn Chánh, Phường Trung Hòa, Quận Cầu Giấy, Hà Nội",2,1,22398763,,3 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22480608,50 m2(4x12),5 tỷ 90 triệu,16/10/2025,Sổ đỏ
,"Hoa Bằng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",4,5,22415225,"35 m2(3,6x9,7)",5 tỷ 200 triệu,16/10/2025,Sổ đỏ
120 m2,"Phan Đình Phùng, Phường Quán Thánh, Quận Ba Đình, Hà Nội",3,2,22711735,,7 tỷ,16/10/2025,Sổ đỏ
180 m2,"Hoàng Quốc Việt, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",3,4,22415246,"45 m2(4,2x10,7)",10 tỷ 200 triệu,16/10/2025,Sổ đỏ
70 m2,"Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",2,1,22711732,,3 tỷ 900 triệu,16/10/2025,Sổ đỏ
250 m2,"Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",9,9,22415231,"50 m2(4x12,5)",7 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",6,4,22564631,40 m2(4x10),3 tỷ 850 triệu,16/10/2025,Sổ đỏ
440 m2,"Trần Thái Tông, Phường Dịch Vọng, Quận Cầu Giấy, Hà Nội",8,8,22416487,"55 m2(4,5x12,3)",11 tỷ,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22586014,30 m2(4x8),4 tỷ 800 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22565931,60 m2(4x15),6 tỷ 350 triệu,16/10/2025,Sổ đỏ
,"Nguyễn Tuân, Phường Thanh Xuân Trung, Quận Thanh Xuân, Hà Nội",4,5,22449453,75 m2(5x15),27 tỷ,16/10/2025,Sổ đỏ
,"Đội Nhân, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",4,6,22490112,"48 m2(4,4x11)",11 tỷ,16/10/2025,Sổ đỏ
70 m2,"Phố Tây Sơn, Phường Quang Trung, Quận Đống Đa, Hà Nội",3,2,22703477,,4 tỷ 329 triệu,16/10/2025,Sổ đỏ
80 m2,"Trần Huy Liệu, Phường Giảng Võ, Quận Ba Đình, Hà Nội",2,1,22711731,,5 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Dương Khuê, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",6,7,22446638,"60 m2(4,5x13,3)",20 tỷ,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22621145,32 m2(4x8),5 tỷ 150 triệu,16/10/2025,Sổ đỏ
60 m2,"Lò Đúc, Phường Đống Mác, Quận Hai Bà Trưng, Hà Nội",2,1,22711728,,3 tỷ 200 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,2,22366444,"31 m2(3,2x9)",2 tỷ 850 triệu,16/10/2025,Sổ đỏ
50 m2,"Bạch Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",2,2,22711727,,2 tỷ 830 triệu,16/10/2025,Sổ đỏ
,"Láng Hạ, Phường Láng Hạ, Quận Đống Đa, Hà Nội",3,5,22642249,"42 m2(4,3x9,7)",525 tỷ,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22475646,33 m2(4x7),3 tỷ 750 triệu,16/10/2025,Sổ đỏ
250 m2,"Mai Dịch, Phường Mai Dịch, Quận Cầu Giấy, Hà Nội",4,5,22642554,"50 m2(4,8x10,5)",16 tỷ 900 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22457998,30 m2(5x5),3 tỷ 100 triệu,16/10/2025,Sổ đỏ
55 m2,"Vọng Đức, Phường Hàng Bài, Quận Hoàn Kiếm, Hà Nội",2,1,22711063,,2 tỷ 850 triệu,16/10/2025,Sổ đỏ
100 m2,"Hàng Chiếu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",3,2,22711056,,8 tỷ 500 triệu,16/10/2025,Sổ đỏ
80 m2,"Hàng Đậu, Phường Đồng Xuân, Quận Hoàn Kiếm, Hà Nội",2,2,22711062,,3 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",4,3,22346908,50 m2(4x10),5 tỷ 750 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21471535,"41 m2(3,25x12,6)",3 tỷ 600 triệu,16/10/2025,Sổ đỏ
180 m2,"Xuân Phương, Phường Xuân Phương, Quận Nam Từ Liêm, Hà Nội",4,4,22650039,"45 m2(5,2x8,6)",8 tỷ,16/10/2025,Sổ đỏ
385 m2,"Kim Mã, Phường Kim Mã, Quận Ba Đình, Hà Nội",4,7,22650052,55 m2(5x11),21 tỷ,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,22320627,"40 m2(3,7x11)",4 tỷ 350 triệu,16/10/2025,Sổ đỏ
120 m2,"Đông Dư Thượng, Xã Đông Dư, Huyện Gia Lâm, Hà Nội",3,3,22310765,"33 m2(3,3x10)",2 tỷ 450 triệu,16/10/2025,Sổ đỏ
70 m2,"Hàng Bè, Phường Hàng Bạc, Quận Hoàn Kiếm, Hà Nội",2,1,22711055,,5 tỷ 400 triệu,16/10/2025,Sổ đỏ
,"Mỹ Đình, Phường Mỹ Đình 2, Quận Nam Từ Liêm, Hà Nội",12,13,22672922,"55 m2(5,1x10,7)",13 tỷ,16/10/2025,Sổ đỏ
510 m2,"Văn Khê, Phường La Khê, Quận Hà Đông, Hà Nội",5,6,22650045,85 m2(5x17),20 tỷ,16/10/2025,Sổ đỏ
80 m2,"Lạc Trung, Phường Thanh Lương, Quận Hai Bà Trưng, Hà Nội",3,2,22711053,,5 tỷ 300 triệu,16/10/2025,Sổ đỏ
,"Quan Hoa, Phường Quan Hoa, Quận Cầu Giấy, Hà Nội",14,15,22672934,70 m2(5x14),17 tỷ,16/10/2025,Sổ đỏ
100 m2,"Phố Kim Ngưu, Phường Thanh Nhàn, Quận Hai Bà Trưng, Hà Nội",3,2,22711049,,5 tỷ 200 triệu,16/10/2025,Sổ đỏ
80 m2,"Quỳnh Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",3,2,22711047,,4 tỷ 500 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Cự Khối, Quận Long Biên, Hà Nội",,,22080315,"40 m2(3,65x9)",1 tỷ 680 triệu,16/10/2025,Sổ đỏ
,"Thạch Bàn, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,4,22125021,42 m2(4x10),3 tỷ 480 triệu,16/10/2025,Sổ đỏ
,"Đông Quan, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",4,5,22673230,"60 m2(5,5x11)",22 tỷ,16/10/2025,Sổ đỏ
,"Khương Đình, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",4,5,22673227,"35 m2(4,5x7,8)",8 tỷ 500 triệu,16/10/2025,Sổ đỏ
90 m2,"Quỳnh Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",3,2,22711041,,4 tỷ 600 triệu,16/10/2025,Sổ đỏ
70 m2,"Quỳnh Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",2,1,22711046,,3 tỷ 890 triệu,16/10/2025,Sổ đỏ
32 m2,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,4,21205499,32 m2(4x9),2 tỷ 600 triệu,16/10/2025,Sổ đỏ
33 m2,"Giải Phóng, Phường Phương Mai, Quận Đống Đa, Hà Nội",3,3,22708751,33 m2(3x10),6 tỷ 200 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",3,2,22102202,33 m2(5x6),2 tỷ 700 triệu,16/10/2025,Sổ đỏ
80 m2,"Quỳnh Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",2,1,22711038,,3 tỷ 880 triệu,16/10/2025,Sổ đỏ
,"Cổ Linh, Phường Thạch Bàn, Quận Long Biên, Hà Nội",4,3,22480573,"41 m2(3,8x12)",4 tỷ 900 triệu,16/10/2025,Sổ đỏ
90 m2,"Hồng Mai, Phường Bạch Mai, Quận Hai Bà Trưng, Hà Nội",3,2,22711030,,4 tỷ 100 triệu,16/10/2025,Sổ đỏ
,"Bát Khối, Phường Long Biên, Quận Long Biên, Hà Nội",3,4,22354002,"30 m2(5,5x5,5)",3 tỷ 700 triệu,16/10/2025,Sổ đỏ
,"Hoa Bằng, Phường Yên Hòa, Quận Cầu Giấy, Hà Nội",5,5,22252280,"50 m2(4,5x11,2)",8 tỷ,16/10/2025,Sổ đỏ
70 m2,"Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",2,2,22711013,,3 tỷ 290 triệu,16/10/2025,Sổ đỏ
31 m2,"Bùi Xương Trạch, Phường Khương Đình, Quận Thanh Xuân, Hà Nội",4,4,22708838,31 m2(4x8),7 tỷ 200 triệu,16/10/2025,Sổ đỏ
,"Đàm Quang Trung, Phường Long Biên, Quận Long Biên, Hà Nội",5,4,21888211,"41 m2(4,3x10)",6 tỷ 350 triệu,16/10/2025,Sổ đỏ
,"Nguyễn Văn Huyên, Phường Nghĩa Đô, Quận Cầu Giấy, Hà Nội",5,5,22274817,"70 m2(7,4x9,5)",16 tỷ 500 triệu,16/10/2025,Sổ đỏ
200 m2,"Võng Thị, Phường Bưởi, Quận Tây Hồ, Hà Nội",4,4,22274736,"50 m2(4x12,5)",7 tỷ,16/10/2025,Sổ đỏ
50 m2,"Mai Hắc Đế, Phường Lê Đại Hành, Quận Hai Bà Trưng, Hà Nội",2,1,22711024,,3 tỷ 390 triệu,16/10/2025,Sổ đỏ
70 m2,"Dốc Thọ Lão, Phường Đồng Nhân, Quận Hai Bà Trưng, Hà Nội",2,2,22711018,,3 tỷ 400 triệu,16/10/2025,Sổ đỏ
90 m2,"Nguyễn Quý Đức, Phường Thanh Xuân Bắc, Quận Thanh Xuân, Hà Nội",2,1,22711008,,7 tỷ 990 triệu,16/10/2025,Sổ đỏ
70 m2,"Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",2,1,22711006,,4 tỷ 480 triệu,16/10/2025,Sổ đỏ
90 m2,"Nguyễn Khuyến, Phường Văn Miếu, Quận Đống Đa, Hà Nội",3,2,22711001,,5 tỷ 700 triệu,16/10/2025,Sổ đỏ
90 m2,"Nhân Hòa, Phường Nhân Chính, Quận Thanh Xuân, Hà Nội",3,2,22711003,,4 tỷ 550 triệu,16/10/2025,Sổ đỏ
,"Lưu Hữu Phước, Phường Mỹ Đình 1, Quận Nam Từ Liêm, Hà Nội",5,5,22274706,"60 m2(4,5x13)",14 tỷ,16/10/2025,Sổ đỏ
,"Văn Cao, Phường Liễu Giai, Quận Ba Đình, Hà Nội",3,4,22416804,"67 m2(4,8x13,9)",11 tỷ 900 triệu,16/10/2025,Sổ đỏ
70 m2,"Phương Mai, Phường Phương Mai, Quận Đống Đa, Hà Nội",2,1,22710995,,3 tỷ 580 triệu,16/10/2025,Sổ đỏ
100 m2,"Trường Chinh, Phường Phương Mai, Quận Đống Đa, Hà Nội",4,1,22707043,,4 tỷ 390 triệu,16/10/2025,Sổ đỏ
,"Vĩnh Phúc, Phường Vĩnh Phúc, Quận Ba Đình, Hà Nội",5,7,22296689,80 m2(5x16),24 tỷ,16/10/2025,Sổ đỏ
90 m2,"Đội Cấn, Phường Đội Cấn, Quận Ba Đình, Hà Nội",3,2,22709625,,8 tỷ 580 triệu,16/10/2025,Sổ đỏ
80 m2,"Nguyễn Chí Thanh, Phường Láng Hạ, Quận Đống Đa, Hà Nội",3,2,22703768,,4 tỷ 200 triệu,16/10/2025,Sổ đỏ
